利用日/キャンセル日,利用店名・商品名,利用者,決済方法,支払区分,利用金額,手数料,支払総額,当月支払金額,翌月以降繰越金額,調整額,当月お支払日
2026/04/04,セブンイレブン,本人,カード,1回払い,780,0,780,780,0,0,2026/05/27
2026/04/07,イオン宇都宮店,本人,カード,1回払い,9240,0,9240,9240,0,0,2026/05/27
2026/04/15,西松屋,本人,カード,1回払い,3980,0,3980,3980,0,0,2026/05/27
2026/04/23,マツモトキヨシ,本人,カード,1回払い,2460,0,2460,2460,0,0,2026/05/27
2026/05/02,ヨークベニマル,本人,カード,1回払い,10120,0,10120,10120,0,0,2026/06/27
2026/05/05,アカチャンホンポ,本人,カード,1回払い,7340,0,7340,7340,0,0,2026/06/27
2026/05/16,ダイソー,本人,カード,1回払い,1430,0,1430,1430,0,0,2026/06/27
2026/05/28,楽天市場,本人,カード,1回払い,12000,0,12000,12000,0,0,2026/06/27
2026/06/04,セブンイレブン,本人,カード,1回払い,780,0,780,780,0,0,2026/07/27
2026/06/05,西松屋,本人,カード,1回払い,3980,0,3980,3980,0,0,2026/07/27
2026/06/06,楽天市場,本人,カード,1回払い,12000,0,12000,12000,0,0,2026/07/27
2026/06/11,マクドナルド,本人,カード,1回払い,1850,0,1850,1850,0,0,2026/07/27
2026/06/18,ウエルシア,本人,カード,1回払い,3620,0,3620,3620,0,0,2026/07/27
2026/06/26,イオン宇都宮店,本人,カード,1回払い,11240,0,11240,11240,0,0,2026/07/27
